name,x,y
1051498106,-3.6007744,55.9688068
1051503017,-3.6007147,55.9686407
10756047083,-3.5962173,55.9768339
10756047092,-3.5960585,55.9769203
10756047097,-3.5962619,55.9769693
1118687152,-3.6117079,55.9801672
1118687438,-3.5856722,55.9766457
1118687486,-3.5848877,55.977471
11305234656,-3.6141352,55.9674087
11305234657,-3.6142434,55.9675049
11765834421,-3.5842665,55.9795566
11765834422,-3.5840056,55.9795819
12057395695,-3.5832743,55.9811051
1245017210,-3.596315,55.9769317
1293046425,-3.5819458,55.9791572
1368354220,-3.6003446,55.9696139
1596861450,-3.5847958,55.9657862
1596861459,-3.5839048,55.9659459
1596861556,-3.6030989,55.9690984
1596861557,-3.6020024,55.9693201
1596861558,-3.6016792,55.969391
1596861575,-3.6158659,55.9720081
1596861576,-3.6167219,55.9728181
1596861578,-3.6169146,55.9729937
1596861581,-3.6180168,55.9730461
1596861584,-3.6161572,55.9732645
1596861587,-3.6157602,55.9734059
1596955265,-3.6213802,55.9753714
1596955287,-3.6130241,55.9757951
1596955352,-3.6220058,55.9771535
1596955398,-3.6218074,55.9773819
1596955401,-3.6152985,55.9773992
1596955444,-3.6172893,55.9781734
1596955449,-3.6181193,55.9783014
1596955497,-3.6205486,55.9787757
1596955526,-3.6184386,55.9791131
1596955531,-3.6178107,55.9791865
1596955533,-3.6230591,55.979258
1596955537,-3.6168529,55.9793628
1596955544,-3.6169818,55.979515
1596955547,-3.6167719,55.9795569
1596955549,-3.6244992,55.9795842
1596955567,-3.6187395,55.9797281
1596955568,-3.6234748,55.9797402
1596955593,-3.6242325,55.9799648
1596955595,-3.6244724,55.9799648
1596955602,-3.6198539,55.9800277
1596955608,-3.617505,55.9801325
1596955639,-3.6136268,55.9805916
1596955643,-3.6172743,55.9807503
1596955645,-3.6215527,55.9807761
1596955646,-3.6163041,55.9807903
1596979128,-3.6056121,55.9769244
1596979148,-3.5891743,55.9785644
1598385340,-3.5805572,55.9821274
1598385355,-3.5820324,55.9832967
1600534156,-3.5807318,55.9801448
1600534451,-3.5820791,55.9834231
1604219936,-3.6207637,55.9720245
1604219940,-3.6207796,55.9722462
1745469555,-3.5867167,55.9779668
1828387830,-3.6008878,55.9759705
190531705,-3.6279129,55.9743528
190531706,-3.6280846,55.9745028
190531708,-3.6285567,55.9750792
190531710,-3.6286747,55.9751872
190531721,-3.6288217,55.9765551
190531723,-3.628733,55.9770247
190531724,-3.628627,55.977537
190531728,-3.6285027,55.9779572
190531730,-3.6281749,55.9784613
190531733,-3.6278164,55.9788431
190531736,-3.6266684,55.9799716
190546518,-3.5960732,55.9769431
190546530,-3.5961739,55.9768328
190546579,-3.5942391,55.9783944
190546592,-3.5927991,55.979704
190546624,-3.589845,55.9816235
190546646,-3.5888686,55.9822211
190982225,-3.6136229,55.9807258
190982262,-3.6079819,55.9808842
192302049,-3.6195615,55.9719314
192302052,-3.6181341,55.9705931
192302066,-3.6157232,55.9713257
192302096,-3.6106539,55.9737826
192302099,-3.6109033,55.9746271
192302121,-3.5936993,55.9766012
192302145,-3.5965709,55.9756531
192408446,-3.6220547,55.9684277
192408456,-3.6213443,55.9685612
192408480,-3.62031,55.9686845
192649798,-3.6108084,55.9741
192649804,-3.6101142,55.9741534
194539562,-3.6201363,55.9680812
194539632,-3.6179682,55.968155
194539637,-3.6177014,55.9681739
194539641,-3.6180031,55.9682186
2119989689,-3.5825679,55.9788912
243662941,-3.6069775,55.9704719
243662951,-3.6051873,55.968011
243662958,-3.5977168,55.9681835
243662961,-3.6000864,55.9683959
243662966,-3.6257941,55.970731
243663887,-3.6220703,55.9699713
243978948,-3.6141442,55.9718927
243978956,-3.6152904,55.9714728
243978957,-3.6187331,55.9711311
243978959,-3.6211649,55.9679804
243978960,-3.6210375,55.9678945
243978962,-3.6210997,55.9678145
246815080,-3.5893841,55.9767567
270301397,-3.5973131,55.9752903
270302325,-3.5970047,55.9682802
270355622,-3.6198121,55.9792073
270355627,-3.6230575,55.979802
270356301,-3.6026327,55.9754339
270356304,-3.6022042,55.9741412
270356309,-3.5972952,55.9706843
270359880,-3.6075908,55.9748612
270360128,-3.6079283,55.9749599
270360130,-3.6089176,55.9759414
270786808,-3.6103875,55.9766145
27537583,-3.6260355,55.9707757
27537584,-3.6259561,55.9709137
27537585,-3.6257223,55.9708759
27537608,-3.6120918,55.9758309
27537609,-3.6110394,55.9758142
27537610,-3.6103591,55.9758603
27537612,-3.607286,55.9760055
27537620,-3.6001234,55.9769921
27537624,-3.5968203,55.9768015
27538528,-3.5971487,55.9755303
27538529,-3.5974716,55.9753654
27538532,-3.5982116,55.9753026
3062774875,-3.6045994,55.9739794
3063665400,-3.6246788,55.9751642
3063665401,-3.6245109,55.9751756
3200728288,-3.6036133,55.96697
3200728292,-3.597354,55.9673746
3200728294,-3.597049,55.9674358
3200728303,-3.6019191,55.9680662
3200728304,-3.6021864,55.9680742
3200728305,-3.601781,55.9681023
3200728316,-3.6007369,55.9687121
322847838,-3.5846428,55.9834736
324265802,-3.5868813,55.9805432
324265803,-3.585913,55.9803132
324265804,-3.5854145,55.9802639
324265840,-3.5837521,55.9800896
324265841,-3.5824936,55.9800663
324265842,-3.5817418,55.9800893
