name,start_node,end_node,length_m,free_flow_speed_mps,jam_density,number_of_lanes,highway,oneway
tc_863372585_863373591_0,863372585,863373591,80.59980015469336,8.940800000000001,0.2,1,unclassified,False
tc_863373591_369817343_0,863373591,369817343,123.74529866974524,8.940800000000001,0.2,2,tertiary,False
tc_863373591_382400472_0,863373591,382400472,7.4986337392751015,8.940800000000001,0.2,2,tertiary,False
tc_863373591_863372585_0,863373591,863372585,80.59980015469336,8.940800000000001,0.2,1,unclassified,False
tc_863380318_1596955265_0,863380318,1596955265,294.4710765889492,13.411200000000001,0.2,2,primary,False
tc_863380318_75632307_0,863380318,75632307,72.54083900825361,13.411200000000001,0.2,2,primary,False
tc_863380318_863381150_0,863380318,863381150,82.28874116836198,13.411200000000001,0.2,1,residential,False
tc_863381150_863380318_0,863381150,863380318,82.288741168362,13.411200000000001,0.2,1,residential,False
tc_863382484_357457027_0,863382484,357457027,38.694756875160856,8.940800000000001,0.2,1,residential,False
tc_863382484_3673008044_0,863382484,3673008044,98.0001645158636,8.940800000000001,0.2,1,residential,False
tc_863382484_863382486_0,863382484,863382486,26.857146529149812,8.940800000000001,0.2,1,residential,False
tc_863382486_7865913847_0,863382486,7865913847,49.90491200852219,8.940800000000001,0.2,1,residential,False
tc_863382486_863382484_0,863382486,863382484,26.857146529149812,8.940800000000001,0.2,1,residential,False
tc_863382486_863383230_0,863382486,863383230,67.00688120489298,8.940800000000001,0.2,1,residential,False
tc_863383230_863382486_0,863383230,863382486,67.00688120489296,8.940800000000001,0.2,1,residential,False
tc_863385431_75632270_0,863385431,75632270,64.810283987042,13.411200000000001,0.2,1,residential,False
tc_863385918_75632252_0,863385918,75632252,76.5636930551694,13.411200000000001,0.2,1,residential,False
tc_863385918_863385922_0,863385918,863385922,20.56239400346561,13.411200000000001,0.2,1,residential,False
tc_863385918_9452529379_0,863385918,9452529379,60.47202885666598,13.411200000000001,0.2,1,residential,False
tc_863385922_863385918_0,863385922,863385918,20.56239400346561,13.411200000000001,0.2,1,residential,False
tc_863387612_807926254_0,863387612,807926254,60.08364599205883,13.411200000000001,0.2,1,residential,False
tc_863387612_863387614_0,863387612,863387614,58.59045270352702,13.411200000000001,0.2,1,residential,False
tc_863387612_863387986_0,863387612,863387986,73.79856201049817,13.411200000000001,0.2,1,residential,False
tc_863387614_7604954373_0,863387614,7604954373,117.75680777309114,13.411200000000001,0.2,1,residential,False
tc_863387614_863387612_0,863387614,863387612,58.59045270352702,13.411200000000001,0.2,1,residential,False
tc_863387614_863387616_0,863387614,863387616,65.58361168570184,13.411200000000001,0.2,1,residential,False
tc_863387616_3063665401_0,863387616,3063665401,131.67881083477107,13.411200000000001,0.2,1,residential,False
tc_863387616_863387614_0,863387616,863387614,65.58361168570184,13.411200000000001,0.2,1,residential,False
tc_863387616_863388430_0,863387616,863388430,72.5812000275848,13.411200000000001,0.2,1,residential,False
tc_863387986_863387612_0,863387986,863387612,73.79856201049819,13.411200000000001,0.2,1,residential,False
